objname,count,gaze_coordx,gaze_coordy,gaze_coordz,minboundx,minboundy,minboundz,maxboundx,maxboundy,maxboundz,timestamp
3zbXr_lBv5jgOEo802_LGZ,1,(-1.6, -2.0, 2.2),(-17.2, -2.3, -2.6),(22.4, -2.0, 32.9),4/19/2022 11:50:29 PM
3zbXr_lBv5jgOEo802_LGZ,1,(-2.4, -1.9, 5.0),(-2.6, -2.4, 4.9),(-2.4, 2.5, 5.1),4/19/2022 11:50:33 PM
1eu4XPbTzBchVWRGaY34Ai,1,(-2.4, -1.9, 5.0),(-2.6, -2.4, 4.9),(-2.4, 2.5, 5.1),4/19/2022 11:50:33 PM
3zbXr_lBv5jgOEo802_LGZ,1,(-3.1, -1.6, 7.5),(-8.8, -2.0, 7.3),(-0.7, 2.5, 8.4),4/19/2022 11:50:33 PM
1eu4XPbTzBchVWRGaY34Ai,1,(-3.1, -1.6, 7.5),(-8.8, -2.0, 7.3),(-0.7, 2.5, 8.4),4/19/2022 11:50:33 PM
0PfeWE7Aj7GBHCsLa672r6,1,(-3.1, -1.6, 7.5),(-8.8, -2.0, 7.3),(-0.7, 2.5, 8.4),4/19/2022 11:50:33 PM
3zbXr_lBv5jgOEo802_LGZ,1,(-2.4, -0.5, 5.0),(-2.6, -2.4, 4.9),(-2.4, 2.5, 5.1),4/19/2022 11:50:33 PM
1eu4XPbTzBchVWRGaY34Ai,2,(-2.4, -0.5, 5.0),(-2.6, -2.4, 4.9),(-2.4, 2.5, 5.1),4/19/2022 11:50:33 PM
0PfeWE7Aj7GBHCsLa672r6,1,(-2.4, -0.5, 5.0),(-2.6, -2.4, 4.9),(-2.4, 2.5, 5.1),4/19/2022 11:50:33 PM
3zbXr_lBv5jgOEo802_LGZ,1,(-2.5, -0.9, 4.6),(-2.8, -2.3, 4.3),(-2.5, -0.9, 4.9),4/19/2022 11:50:33 PM
1eu4XPbTzBchVWRGaY34Ai,2,(-2.5, -0.9, 4.6),(-2.8, -2.3, 4.3),(-2.5, -0.9, 4.9),4/19/2022 11:50:33 PM
0PfeWE7Aj7GBHCsLa672r6,1,(-2.5, -0.9, 4.6),(-2.8, -2.3, 4.3),(-2.5, -0.9, 4.9),4/19/2022 11:50:33 PM
2lWrGK6Aj43QEHo8Gwf54I,1,(-2.5, -0.9, 4.6),(-2.8, -2.3, 4.3),(-2.5, -0.9, 4.9),4/19/2022 11:50:33 PM
3zbXr_lBv5jgOEo802_LGZ,1,(-2.6, -1.1, 4.9),(-2.6, -2.4, 4.9),(-2.4, 2.5, 5.1),4/19/2022 11:50:35 PM
1eu4XPbTzBchVWRGaY34Ai,3,(-2.6, -1.1, 4.9),(-2.6, -2.4, 4.9),(-2.4, 2.5, 5.1),4/19/2022 11:50:35 PM
0PfeWE7Aj7GBHCsLa672r6,1,(-2.6, -1.1, 4.9),(-2.6, -2.4, 4.9),(-2.4, 2.5, 5.1),4/19/2022 11:50:35 PM
2lWrGK6Aj43QEHo8Gwf54I,1,(-2.6, -1.1, 4.9),(-2.6, -2.4, 4.9),(-2.4, 2.5, 5.1),4/19/2022 11:50:35 PM
3zbXr_lBv5jgOEo802_LGZ,1,(-2.4, -1.1, 5.0),(-2.6, -2.4, 4.9),(-2.4, 2.5, 5.1),4/19/2022 11:50:35 PM
